,palmOil,controversialWeapons,gambling,socialScore,nuclear,furLeather,alcoholic,gmo,catholic,socialPercentile,peerCount,governanceScore,environmentPercentile,animalTesting,tobacco,totalEsg,highestControversy,esgPerformance,coal,pesticides,adult,percentile,peerGroup,smallArms,environmentScore,governancePercentile,militaryContract,company_ticker
Value,False,False,False,13.46,False,False,False,False,False,0,85,9.71,0,False,False,23.22,4,,False,False,False,34.1,Diversified Financials,False,0.05,0,False,COF
Value,False,False,False,13.18,False,False,False,False,True,0,83,7.33,0,True,False,20.54,2,,False,False,False,24.76,Pharmaceuticals,False,0.03,0,False,REGN
Value,False,False,False,14.25,False,False,False,False,False,0,53,6.87,0,False,False,30.99,2,LEAD_PERF,False,False,False,63.1,Machinery,False,9.87,0,False,EMR
Value,False,False,False,9.83,False,False,False,False,False,0,64,7.2,0,False,False,35.98,2,LEAD_PERF,False,False,False,78.55,Oil & Gas Producers,False,18.96,0,False,COP
Value,False,False,False,3.61,False,False,False,False,False,0,33,3.58,0,False,False,14.89,2,LAG_PERF,False,False,False,8.05,Commercial Services,False,7.69,0,False,WM
Value,False,False,False,15.52,False,False,False,False,True,0,60,7.44,0,False,False,26.26,2,,False,False,False,44.24,Healthcare,False,3.29,0,False,HCA
Value,False,False,False,5.86,False,False,False,False,False,0,85,5.76,0,False,False,11.66,2,LAG_PERF,False,False,False,3.34,Diversified Financials,False,0.03,0,False,MCO
Value,False,True,False,16.79,False,False,False,False,False,0,22,4.76,0,False,False,30.3,3,LEAD_PERF,False,False,False,60.71,Aerospace & Defense,True,8.74,0,True,NOC
Value,False,False,False,10.54,False,False,False,False,False,0,26,4.88,0,False,False,33.92,4,LEAD_PERF,False,False,False,72.7,Diversified Metals,False,18.5,0,False,FCX
Value,False,False,False,13.72,False,False,False,False,False,0,99,5.44,0,False,False,20.28,0,,False,False,False,23.91,Software & Services,False,1.13,0,False,ROP
Value,False,False,False,7.68,False,False,False,False,False,0,27,6.42,0,True,False,22.15,2,,False,False,False,30.12,Household Products,False,8.05,0,False,KMB
Value,False,False,False,8,False,False,False,False,False,0,57,5.73,0,False,False,15.32,2,LAG_PERF,False,False,False,9.77,Retailing,False,1.6,0,False,ROST
Value,False,False,False,10.43,False,False,False,False,False,0,103,6.2,0,False,False,17.74,2,LAG_PERF,False,False,False,14.92,Software & Services,False,1.11,0,False,CTSH
Value,False,False,False,6.73,False,False,False,False,False,0,29,5.96,0,False,False,19.52,0,LAG_PERF,False,False,False,21.44,Semiconductors,False,6.84,0,False,KLAC
Value,False,False,False,4.53,False,False,False,False,False,0,53,4.93,0,False,False,16.11,1,LAG_PERF,False,False,False,11.54,Technology Hardware,False,6.65,0,False,TEL
Value,False,False,False,7.12,False,False,False,False,False,0,55,10.02,0,True,False,20.74,0,,False,False,False,25.33,Healthcare,False,3.6,0,False,IDXX
Value,False,False,False,15.59,False,False,False,False,False,0,55,9.02,0,True,False,27.15,2,,False,False,False,48.93,Healthcare,False,2.55,0,False,BAX
Value,False,False,False,10.06,False,False,False,False,False,0,99,7.36,0,False,False,19.97,3,LAG_PERF,False,False,False,22.78,Software & Services,False,2.55,0,False,TWTR
Value,False,False,False,8.86,True,False,False,False,False,0,107,6.62,0,False,False,25.36,3,,False,False,False,40.78,Utilities,False,9.88,0,False,EXC
Value,False,False,False,7.36,False,False,False,False,False,0,99,5,0,False,False,12.49,2,LAG_PERF,False,False,False,4.36,Software & Services,False,0.13,0,False,EA
Value,False,False,False,5.52,False,False,False,False,False,0,53,8.04,0,False,False,21.6,2,,False,False,False,28.12,Technology Hardware,False,8.04,0,True,APH
